id,C1,C2
(f)Erysipelotrichaceae sp.,1743,Infinity
Dialister propionicifaciens,483,Infinity
Veillonella parvula,17,170
Veillonella rogosae,Unknown,Unknown
Anaerococcus hydrogenalis,5880,Infinity
Peptoniphilus grossensis,100,Infinity
Peptoniphilus rhinitidis,1226,Infinity
Fusobacterium canifelinum,1163,Infinity
Brevundimonas bullata-diminuta-terrae,3316,Infinity
Amaricoccus tamworthensis,1870,Infinity
Rubellimicrobium mesophilum,2266,Infinity
Gluconacetobacter liquefaciens-sacchari,0,0
(f)Mitochondria sp.,7650,Infinity
Sphingobium hydrophobicum-xenophagum,856,Infinity
Comamonas sp.,Unknown,Unknown
Lampropedia sp.,2833,Infinity
(f)Comamonadaceae sp.,1420,Infinity
Massilia aurea,490,Infinity
(o)Myxococcales sp.,2043,Infinity
(o)Cardiobacteriales sp.,6680,Infinity
Citrobacter freundii,18,Infinity
Enterobacter cloacae,15,Infinity
Klebsiella oxytoca,177,Infinity
Frederiksenia sp.,4383,Infinity
Acinetobacter radioresistens,564,Infinity
Pseudomonas fragi-psychrophila,938,Infinity
Photobacterium phosphoreum,1450,Infinity
Luteimonas sp.,Unknown,Unknown
Cladosporium aphidis,19,Infinity
Cladosporium sphaerospermum,Unknown,Unknown
(f)Teratosphaeriaceae sp.,10,Infinity
Aureobasidium namibiae,0,0
(f)Phaeosphaeriaceae sp.,Unknown,Unknown
Phaeosphaeria sp.,26,Infinity
Curvularia sp.,Unknown,Unknown
Penicillium brevicompactum-kongii,65,Infinity
Penicillium decumbens,36,Infinity
Penicillium olsonii,1,12
Botrytis caroliniana-cinerea,45,Infinity
Candida tropicalis,311,Infinity
Candida sake,223,Infinity
Fusarium equiseti,Unknown,Unknown
Coprinellus ellisii-radians,71,Infinity
(c)Agaricomycetes sp.,27,Infinity
Phlebia tremellosa,Unknown,Unknown
Sterigmatomyces halophilus,Unknown,Unknown
(f)Sporidiobolaceae sp.,18,Infinity
Rhodotorula taiwanensis,Unknown,Unknown
Naganishia sp.,1540,Infinity
Wallemia mellicola,12,Infinity
*Saccharimonas sp.,Unknown,Unknown
(c)Acidobacteriia sp.,Unknown,Unknown
Actinomyces oris,Unknown,Unknown
Bifidobacterium pseudocatenulatum,Unknown,Unknown
Corynebacterium auriscanis,Unknown,Unknown
Corynebacterium fournierii-ureicelerivorans,Unknown,Unknown
Corynebacterium mastitidis,0,0
Corynebacterium minutissimum-singulare-ulcerans,Unknown,Unknown
Corynebacterium stationis,Unknown,Unknown
Mycobacteroides sp.,Unknown,Unknown
Rhodococcus fascians,Unknown,Unknown
(o)Frankiales sp.,Unknown,Unknown
Dermabacter hominis,Unknown,Unknown
Dermacoccus nishinomiyaensis,Unknown,Unknown
Curtobacterium oceanosedimentum,Unknown,Unknown
Leucobacter sp.,Unknown,Unknown
Microbacterium sp.,Unknown,Unknown
(f)Micrococcaceae agilis-rosea,Unknown,Unknown
Kocuria atrinae,Unknown,Unknown
(f)Micrococcaceae sp.,Unknown,Unknown
Rothia amarae,Unknown,Unknown
Friedmanniella capsulata,Unknown,Unknown
Cutibacterium avidum,Unknown,Unknown
Tessaracoccus aquimaris,Unknown,Unknown
(f)Euzebyaceae sp.,Unknown,Unknown
Porphyromonas canis-gingivicanis,Unknown,Unknown
(f)Rikenellaceae sp.,Unknown,Unknown
Parabacteroides merdae,Unknown,Unknown
(c)Chitinophagia sp.,Unknown,Unknown
Chryseobacterium panacis,Unknown,Unknown
Empedobacter sp.,Unknown,Unknown
(c)Chloroplast sp.,Unknown,Unknown
Allobacillus halotolerans,Unknown,Unknown
Bacillus sp.,Unknown,Unknown
Exiguobacterium artemiae-sibiricum,Unknown,Unknown
Planococcus rifietoensis,Unknown,Unknown
(f)Staphylococcaceae sp.,Unknown,Unknown
Salinicoccus halodurans,Unknown,Unknown
Staphylococcus cohnii,Unknown,Unknown
Staphylococcus lugdunensis,Unknown,Unknown
Staphylococcus massiliensis,Unknown,Unknown
Staphylococcus petrasii,Unknown,Unknown
Staphylococcus saprophyticus-xylosus,Unknown,Unknown
Staphylococcus schleiferi,Unknown,Unknown
Alloiococcus otitis,Unknown,Unknown
Enterococcus faecium-hirae,Unknown,Unknown
Lactobacillus iners,Unknown,Unknown
Lactococcus piscium,Unknown,Unknown
Streptococcus suis,Unknown,Unknown
Butyricicoccus pullicaecorum,0,0
Clostridium colicanis,0,0
Fusibacter sp.,Unknown,Unknown
(f)Family XIII sp.,Unknown,Unknown
Blautia glucerasea,0,0
Blautia massiliensis,Unknown,Unknown
(f)Lachnospiraceae rectale,Unknown,Unknown
Paeniclostridium sp.,Unknown,Unknown
Anaerotruncus sp.,Unknown,Unknown
Faecalibacterium prausnitzii,Unknown,Unknown
Erysipelatoclostridium sp.,Unknown,Unknown
(o)Erysipelotrichales sp.,Unknown,Unknown
Veillonella dispar-parvula,0,0
Anaerococcus octavius,Unknown,Unknown
Anaerococcus prevotii,Unknown,Unknown
Anaerococcus vaginalis,Unknown,Unknown
Peptoniphilus coxii,Unknown,Unknown
Peptoniphilus harei,0,0
Peptoniphilus urinimassiliensis,Unknown,Unknown
(f)Planctomycetaceae sp.,Unknown,Unknown
Methylobacterium adhaesivum,Unknown,Unknown
(o)Rhizobiales sp.,Unknown,Unknown
(o)Rhodobacterales sp.,Unknown,Unknown
(f)Rhodobacteraceae sp.,Unknown,Unknown
Paracocccus sp.,Unknown,Unknown
Paracoccus aquimaris,Unknown,Unknown
Paracoccus carotinifaciens-haeundaensis-marcusii,Unknown,Unknown
Paracoccus chinensis,Unknown,Unknown
Paracoccus mutanolyticus-yeei,Unknown,Unknown
Acidocella aluminiidurans,Unknown,Unknown
Novosphingobium barchaimii,0,0
Sphingomonas desiccabilis,Unknown,Unknown
Sphingomonas kyeonggiensis,Unknown,Unknown
(f)Comamonadaceae ebreus-polyhydroxybutyrativorans,Unknown,Unknown
Neisseria weaveri,Unknown,Unknown
Helicobacter cinaedi,Unknown,Unknown
(f)Enterobacteriaceae adecarboxylata-cloacae-ludwigii,Unknown,Unknown
Klebsiella aerogenes-pneumoniae,Unknown,Unknown
Proteus mirabilis,0,0
Pasteurella oralis,0,0
Acinetobacter bereziniae,Unknown,Unknown
Pseudomonas extremorientalis-fluorescens-simiae,Unknown,Unknown
Pseudomonas fluorescens-koreensis,Unknown,Unknown
Stenotrophomonas maltophilia,Unknown,Unknown
Cladosporium langeronii-psychrotolerans,Unknown,Unknown
Cladosporium penidielloides-salinae,Unknown,Unknown
Toxicocladosporium rubrigenum,Unknown,Unknown
(c)Dothideomycetes sp.,Unknown,Unknown
Didymella sp.,0,0
(f)Didymellaceae sp.,Unknown,Unknown
Neoascochyta sp.,Unknown,Unknown
Alatosessilispora sp.,Unknown,Unknown
Trichomerium sp.,Unknown,Unknown
Aspergillus ochraceus-pseudoelegans-westerdijkiae,0,0
Penicillium steckii,Unknown,Unknown
(o)Eurotiales sp.,Unknown,Unknown
Byssochlamys spectabilis,Unknown,Unknown
(f)Trichocomaceae sp.,Unknown,Unknown
(c)Leotiomycetes sp.,Unknown,Unknown
(f)Pseudeurotiaceae sp.,Unknown,Unknown
Debaryomyces prosopidis,Unknown,Unknown
Geotrichum bryndzae-candidum,Unknown,Unknown
(o)Saccharomycetales sp.,Unknown,Unknown
Valsa sp.,Unknown,Unknown
Acremonium charticola,Unknown,Unknown
(c)Sordariomycetes sp.,Unknown,Unknown
(o)Xylariales sp.,Unknown,Unknown
(o)Auriculariales sp.,Unknown,Unknown
Trichaptum biforme,Unknown,Unknown
Xylodon sp.,Unknown,Unknown
Amyloporia xantha,Unknown,Unknown
Sistotremastrum sp.,Unknown,Unknown
Malassezia caprae,Unknown,Unknown
Malassezia slooffiae,Unknown,Unknown
(c)Microbotryomycetes sp.,Unknown,Unknown
Rhodotorula alborubescens-mucilaginosa,Unknown,Unknown
Rhodotorula babjevae-glutinis-graminis,Unknown,Unknown
Tausonia pullulans,Unknown,Unknown
Cryptococcus neoformans,0,0
(f)Ustilaginaceae sp.,Unknown,Unknown
Wallemia sebi,Unknown,Unknown
