id,C1,C2
Actinomycetospora atypica,Unknown,Unknown
(f)Pseudonocardiaceae sp.,Unknown,Unknown
Collinsella aerofaciens,0,0
Collinsella intestinalis,Unknown,Unknown
Collinsella stercoris,Unknown,Unknown
(p)Actinobacteria sp.,Unknown,Unknown
Gaiella sp.,Unknown,Unknown
(f)Patulibacteraceae sp.,Unknown,Unknown
Solirubrobacter sp.,Unknown,Unknown
Porphyromonas cangingivalis,Unknown,Unknown
(f)Prevotellaceae sp.,Unknown,Unknown
(o)Sphingobacteriales sp.,Unknown,Unknown
Pedobacter sp.,Unknown,Unknown
(c)Chloroflexia sp.,Unknown,Unknown
(f)Gossypium arboreum sp.,Unknown,Unknown
Alopecurus japonicus,Unknown,Unknown
(f)Populus euphratica euphratica-x,Unknown,Unknown
Allobacillus halotolerans,Unknown,Unknown
Bacillus litoralis,Unknown,Unknown
Bacillus pumilus,Unknown,Unknown
Exiguobacterium acetylicum,Unknown,Unknown
Paenibacillus sp.,Unknown,Unknown
Staphylococcus aureus,Unknown,Unknown
Staphylococcus haemolyticus,Unknown,Unknown
Staphylococcus pettenkoferi,Unknown,Unknown
Abiotrophia sp.,Unknown,Unknown
Streptococcus cristatus,Unknown,Unknown
Streptococcus halichoeri,Unknown,Unknown
Streptococcus mitis,Unknown,Unknown
Streptococcus thermophilus,Unknown,Unknown
Clostridium sp.,0,0
Clostridium paraputrificum,0,0
Clostridium perfringens,0,0
Peptostreptococcus canis,0,0
Terrisporobacter glycolicus,0,0
Faecalitalea sp.,Unknown,Unknown
Peptoniphilus rhinitidis,Unknown,Unknown
(o)Gemmatimonadales sp.,Unknown,Unknown
Chlorochromatium sp.,Unknown,Unknown
(k)Bacteria sp.,Unknown,Unknown
(f)Planctomycetaceae sp.,Unknown,Unknown
Brevundimonas intermedia-nasdae-vesicularis,Unknown,Unknown
Caulobacter flavus-segnis-vibrioides,Unknown,Unknown
(f)Caulobacteraceae sp.,Unknown,Unknown
Devosia riboflavina,Unknown,Unknown
(f)Hyphomicrobiaceae sp.,Unknown,Unknown
Microvirga aerilata,Unknown,Unknown
Rhizobium giardinii,Unknown,Unknown
(o)Rhodobacterales sp.,Unknown,Unknown
Paracoccus aquimaris,Unknown,Unknown
Paracoccus carotinifaciens-haeundaensis-marcusii,Unknown,Unknown
Paracoccus siganidrum,Unknown,Unknown
Rubellimicrobium sp.,Unknown,Unknown
Rubellimicrobium mesophilum,Unknown,Unknown
(f)Sphingomonadaceae sp.,Unknown,Unknown
Novosphingobium barchaimii-fluoreni,Unknown,Unknown
Novosphingobium resinovorum,Unknown,Unknown
Sphingomonas oligophenolica,Unknown,Unknown
Ralstonia detusculanense-pickettii,Unknown,Unknown
Variovorax ginsengisoli,Unknown,Unknown
Herbaspirillum magnetovibrio,Unknown,Unknown
Massilia brevitalea,Unknown,Unknown
Sutterella wadsworthensis,Unknown,Unknown
(c)Betaproteobacteria sp.,Unknown,Unknown
(c)Deltaproteobacteria sp.,Unknown,Unknown
(c)Gammaproteobacteria sp.,Unknown,Unknown
Bibersteinia sp.,Unknown,Unknown
Acinetobacter sp.,Unknown,Unknown
Acinetobacter lwoffii,Unknown,Unknown
Psychrobacter pulmonis,Unknown,Unknown
Pseudomonas canadensis,Unknown,Unknown
Pseudomonas fluorescens-migulae,Unknown,Unknown
Pseudomonas helleri,Unknown,Unknown
Pseudomonas oleovorans,Unknown,Unknown
Pseudomonas vancouverensis,Unknown,Unknown
(p)Proteobacteria sp.,Unknown,Unknown
(c)Oligoflexia sp.,Unknown,Unknown
Cladosporium penidielloides-salinae,Unknown,Unknown
Toxicocladosporium rubrigenum,Unknown,Unknown
Aureobasidium melanogenum,Unknown,Unknown
Aspergillus subversicolor-sydowii-versicolor,Unknown,Unknown
Debaryomyces prosopidis,Unknown,Unknown
Geotrichum bryndzae-candidum,Unknown,Unknown
Cyberlindnera jadinii,Unknown,Unknown
(f)Stachybotryaceae sp.,Unknown,Unknown
(f)Chaetomiaceae ancistrocladum-murorum,Unknown,Unknown
(o)Agaricales sp.,Unknown,Unknown
Schizophyllum commune,Unknown,Unknown
Hyphodontia tropica,Unknown,Unknown
(f)Meruliaceae sp.,Unknown,Unknown
