Pathogens,Kingdom,Citation1,Citation2,Citation3,Former Species Name
Mycobacterium chelonea,"amphibian, reptile","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Aspergillus flavus,avian,"Van Belkum, Alex, et al. Classification of bacterial pathogens.? COGEM Res Rep CGM? 2011 (2011): 1-113.","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Aspergillus fumigatus,avian,"Van Belkum, Alex, et al. Classification of bacterial pathogens.? COGEM Res Rep CGM? 2011 (2011): 1-113.","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Aspergillus niger,avian,"Van Belkum, Alex, et al. Classification of bacterial pathogens.? COGEM Res Rep CGM? 2011 (2011): 1-113.","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Bordetella avium,avian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Borrelia anserina,avian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Campylobacter jejuni,avian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Candida albicans,avian,"Greene, Craig E.? Infectious Diseases of the Dog and Cat-E-Book. Elsevier Health Sciences, 2013.","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Candida glabrata,avian,"Greene, Craig E.? Infectious Diseases of the Dog and Cat-E-Book. Elsevier Health Sciences, 2013.","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Candida parapsilosis,avian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
