Neisseria shayeganii	https://www.midogportal.com/microbial-infections-database?microbe=ca4c3742-0e44-4602-8c18-77a8ebf06790
Parvimonas micra	https://www.midogportal.com/microbial-infections-database?microbe=dc4cd188-54a1-420f-bf9b-e66531ef265d
Mycoplasma agassizii	https://www.midogportal.com/microbial-infections-database?microbe=8f33577c-0c38-49f5-a1cb-eb014e42b7cf
Pasteurella dagmatis	https://www.midogportal.com/microbial-infections-database?microbe=29cd1459-29d3-43bd-82d0-0de4c56b3da2
Mycoplasma canis	https://www.midogportal.com/microbial-infections-database?microbe=85104e24-8e3e-4fa4-affa-0493b74c2efe
Corynebacterium lactis	https://www.midogportal.com/microbial-infections-database?microbe=41459ac7-6459-42d3-ba3a-32c53cf15f8b
Corynebacterium freneyi	https://www.midogportal.com/microbial-infections-database?microbe=58c5691b-322d-4793-891c-677c127687a9
Arcanobacterium phocae	https://www.midogportal.com/microbial-infections-database?microbe=23c11652-02a5-4aa9-944a-3e1b78666a6c
Staphylococcus pseudintermedius	https://www.midogportal.com/microbial-infections-database?microbe=96cb7a4c-1abc-478a-a712-3546b7fcc26b
Streptobacillus felis	https://www.midogportal.com/microbial-infections-database?microbe=99ef636e-2214-4b6e-9930-3211bc475c2f
Mycolicibacterium aubagnense	https://www.midogportal.com/microbial-infections-database?microbe=7fd84cbe-81f1-4234-88af-72382b942f91
Stenotrophomonas maltophilia	https://www.midogportal.com/microbial-infections-database?microbe=fbaa1b4c-0445-4cd3-86a2-9389dcce32e5
Mycolicibacterium fortuitum	https://www.midogportal.com/microbial-infections-database?microbe=212c0651-3f00-4428-b180-192e375b5a8c
Staphylococcus epidermidis	https://www.midogportal.com/microbial-infections-database?microbe=ac28dc9f-5a6d-4230-a91b-993c6a8e1fba
Bacteroides pyogenes	https://www.midogportal.com/microbial-infections-database?microbe=339a7ac7-01c4-4a0c-b845-bebbb7d903af
Bergeyella zoohelcum	https://www.midogportal.com/microbial-infections-database?microbe=c6330920-1a76-4d48-acce-2bf0884e0621
Blastomyces dermatitidis	https://www.midogportal.com/microbial-infections-database?microbe=33bcb4b6-5abd-4e34-94e0-fa201ca30ffe
Brevibacterium otitidis	https://www.midogportal.com/microbial-infections-database?microbe=cf678fb9-63ad-47c6-8250-3b3fb4646248
Mycoplasma	https://www.midogportal.com/microbial-infections-database?microbe=3f9e46c1-bc1b-4bb1-b64b-509957698400
Enterococcus faecalis	https://www.midogportal.com/microbial-infections-database?microbe=f5e7a7cc-6d54-422b-b61a-bda7b38617ee
Paeniclostridium ghonii	https://www.midogportal.com/microbial-infections-database?microbe=064a07a0-a7f8-422b-a9a8-a0711ff47e45
Staphylococcus equorum	https://www.midogportal.com/microbial-infections-database?microbe=a4ada41c-cfde-42fb-821e-fe7db7d0feeb
Staphylococcus haemolyticus	https://www.midogportal.com/microbial-infections-database?microbe=f7427951-472b-4cc9-951b-cdf6006675da
Staphylococcus schleiferi	https://www.midogportal.com/microbial-infections-database?microbe=2fbd1eb6-8daf-486d-89c9-b3a2f2b16710
Morganella morganii	https://www.midogportal.com/microbial-infections-database?microbe=f7ef3077-47f3-4ca2-903f-debb5bb613b3
Moraxella porci	https://www.midogportal.com/microbial-infections-database?microbe=21469f4f-2021-4ae5-b67d-0a16fa37fc2f
Candida albicans	https://www.midogportal.com/microbial-infections-database?microbe=6d81ed7f-6274-422f-a610-9e3a19145bfc
Mycobacterium	https://www.midogportal.com/microbial-infections-database?microbe=ed5731be-3677-446f-980c-fd12eb431064
Pasteurella multocida	https://www.midogportal.com/microbial-infections-database?microbe=54210cfb-a0b3-48e8-939d-398afbf8ae92
