Organisms	Ampicillin	Ampicillin-Sulbactam	Clavamox|Amoxicillin	Piperacillin	Piperacillin-Tazobactam	Benzylpenicillin	Temocillin	Ticarcillin	Timentin	Amikacin	Arbekacin	Streptomycin	Gentamicin	Neomycin	Netilmicin	Kanamycin	Tetracycline|Doxycycline	Tigecycline	Daptomycin	Colistin	Nitrofurantoin	Cefotaxime|Cefpodxime|Cefovecin|Ceftiofur|Cefpodoxime	Ceftriaxone	Ceftazidime	Cefazolin|Cefalotin|Cefalexin|Cefadroxil	Cefoxitin	Cefepime	Cefuroxime	Ertapenem	Imipenem	Meropenem	Ciprofloxacin|Enrofloxacin|Marbofloxacin	Nalidixic acid	Chloramphenicol	Trimethoprim	Fosfomycin	Macrolides|Azithromycin|Erythromycin	Fusidic acid	Other Streptogramins	Quinupristin-Dalfopristin	Clindamycin	Vancomycin	Teicoplanin	Novobiocin	Sulfonamide	Rifampicin	Linezolid	Aztreonam
Campylobacter jejuni|Campylobacter coli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	R	R	R	R	R	NA	NA	NA	NA	R	NA
Staphylococcus saprophyticus	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	R	NA	R	NA	NA	NA	NA	NA	R	NA	NA	NA	R
Staphylococcus cohnii|Staphylococcus xylosus	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	R
Staphylococcus capitis	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R
Staphylococcus aureus	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R
Streptococcus	NA	NA	NA	NA	NA	NA	R	NA	NA	R	R	R	R	R	R	R	NA	NA	NA	R	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	R
Enterococcus faecalis	NA	NA	NA	NA	NA	NA	R	NA	NA	R	R	R	R	R	R	R	NA	NA	NA	R	NA	R	R	R	R	R	NA	R	NA	NA	NA	NA	R	NA	NA	NA	R	R	NA	R	R	NA	NA	NA	R	NA	NA	R
Enterococcus gallinarum|Enterococcus casseliflavus	NA	NA	NA	NA	NA	NA	R	NA	NA	R	R	R	R	R	R	R	NA	NA	NA	R	NA	R	R	R	R	R	NA	R	NA	NA	NA	NA	R	NA	NA	NA	R	R	NA	R	R	R	NA	NA	R	NA	NA	R
Enterococcus faecium	NA	NA	NA	NA	NA	NA	R	NA	NA	R	R	R	R	R	R	R	NA	NA	NA	R	NA	R	R	R	R	R	NA	R	NA	NA	NA	NA	R	NA	NA	NA	R	R	NA	NA	NA	NA	NA	NA	R	NA	NA	R
Corynebacterium	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R
Listeria monocytogenes	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	R	R	R	R	R	NA	R	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R
Leuconostoc|Pediococcus	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	R	R	NA	NA	NA	NA	R
Lactobacillus casei	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	R	R	NA	NA	NA	NA	R
Clostridium ramosum|Clostridium innocuum	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	R
Dickeya zeae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Cronobacter sakazakii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Enterobacter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Pantoea vagans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Pantoea eucrina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Enterobacter ludwigii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Providencia alcalifaciens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Yokenella regensburgei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Erwinia amylovora	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Erwinia tasmaniensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Pantoea agglomerans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Citrobacter murliniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Serratia symbiotica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Yersinia kristensenii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Lelliottia nimipressuralis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Pantoea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Erwinia pyrifoliae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Rosenbergiella nectarea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Serratia proteamaculans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Erwinia persicina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Enterobacter cancerogenus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Yersinia massiliensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Pectobacterium carotovorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Cronobacter turicensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Enterobacter asburiae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Kosakonia radicincitans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Rahnella aquatilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Citrobacter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Enterobacter hormaechei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
