id,C1,C2
(f)Propionibacteriaceae sp.,4570,Infinity
Staphylococcus cohnii,0,765
Staphylococcus succinus,6785,Infinity
Brevundimonas naejangsanensis-olei,6370,Infinity
Agrobacterium tumefaciens,3202,Infinity
Paraburkholderia fungorum,4563,Infinity
(o)Pasteurellales sp.,6290,Infinity
Pasteurella multocida,0,53010
(f)Xanthomonadaceae sp.,8103,Infinity
Alternaria infectoria-rosae,795,Infinity
Gardnerella vaginalis,2205,Infinity
Kineococcus sp.,2530,Infinity
Brachybacterium conglomeratum-paraconglomeratum,28903,Infinity
Microbacterium hatanonis,1483,Infinity
Micrococcus luteus,12790,Infinity
Microlunatus sp.,Unknown,Unknown
(c)Sphingobacteriia sp.,6843,Infinity
Sphingobacterium faecium,3183,Infinity
Pinus wallichiana,42946,Infinity
Jeotgalicoccus halotolerans,1270,Infinity
Lactobacillus crispatus,22026,Infinity
Coprococcus sp.,3793,Infinity
Anaerococcus sp.,83,Infinity
Fusobacterium gastrosuis,0,4511
Chlorochromatium sp.,Unknown,Unknown
Brevundimonas mediterranea,2013,Infinity
Agrobacterium rhizogenes-tumefaciens,1825,Infinity
(f)Acetobacteraceae sp.,2693,Infinity
Roseomonas sp.,3463,Infinity
Sphingomonas cynarae,4480,Infinity
Sphingomonas mucosissima,2460,Infinity
Massilia timonae,1005,Infinity
Pantoea agglomerans-conspicua-vagans,752,Infinity
Pseudomonas fluorescens-koreensis,854,Infinity
(c)Dothideomycetes sp.,61,Infinity
Neoascochyta sp.,793,Infinity
Alternaria malorum-obclavata,1092,Infinity
Curvularia sp.,605,Infinity
Plectosphaerella sp.,102,Infinity
Fusarium poae,84,Infinity
(f)Ceratobasidiaceae sp.,52,Infinity
Sterigmatomyces halophilus,129,Infinity
Dioszegia fristingensis,342,Infinity
Vishniacozyma globospora,58,Infinity
(o)*Gastranaerophilales sp.,2096,Infinity
Brevibacterium senegalense,8360,Infinity
Leucobacter sp.,5113,Infinity
Microbacterium phyllosphaerae,3223,Infinity
Kocuria palustris,2443,Infinity
Friedmanniella sp.,Unknown,Unknown
(o)Gaiellales sp.,Unknown,Unknown
(p)Armatimonadetes sp.,2646,Infinity
Bacteroides dorei,3891,Infinity
Bacteroides pyogenes,0,15563
Hymenobacter sp.,1756,Infinity
Paenibacillus sp.,2076,Infinity
Atopostipes suicloacalis,5536,Infinity
Desemzia incerta,1876,Infinity
Aerosphaera taetra,8653,Infinity
(o)Tissierellales sp.,63,7399
Rhizobium sp.,Unknown,Unknown
Pseudorhodobacter wandonensis,2376,Infinity
(o)Rhodospirillales sp.,6570,Infinity
Sphingobium limneticum,1570,Infinity
(f)Alcaligenaceae sp.,3420,Infinity
Paraburkholderia bryophila,2080,Infinity
Acidovorax temperans,1346,Infinity
(o)Burkholderiales sp.,114,Infinity
Duganella zoogloeoides,2230,Infinity
Massilia brevitalea,1973,Infinity
Campylobacter sp.,166,1660
Haemophilus parainfluenzae,198,Infinity
Acinetobacter baumannii,16090,Infinity
Acinetobacter baumannii-calcoaceticus,5428,Infinity
Pseudomonas pseudoalcaligenes,2900,Infinity
Synergistes sp.,1106,Infinity
Aureobasidium proteae-pullulans,174,Infinity
Boeremia exigua,1547,Infinity
Periconia cookei,167,Infinity
(o)Chaetothyriales sp.,0,Infinity
Blumeria graminis,77,Infinity
Candida parapsilosis,2,20
Meyerozyma carpophila-guilliermondii,0,Infinity
Cyniclomyces sp.,0,0
(o)Agaricales sp.,141,Infinity
Sporobolomyces sp.,58,Infinity
Udeniomyces puniceus,87,Infinity
Filobasidium chernovii-globisporum,67,Infinity
Wallemia sebi,24,Infinity
Mucor nanus-racemosus,150,Infinity
(p)*Gracilibacteria sp.,646,Infinity
Corynebacterium efficiens,9596,Infinity
(f)Mycobacteriaceae sp.,Unknown,Unknown
Blastococcus aggregatus,3686,Infinity
Brevibacterium sp.,297,Infinity
Ornithinimicrobium sp.,2170,Infinity
Curtobacterium sp.,2503,Infinity
Microbacterium hydrothermale,1413,Infinity
Microbacterium maritypicum-oxydans,2803,Infinity
Microbacterium oleivorans,1713,Infinity
Kocuria rosea,3186,Infinity
Bacteroides fragilis,42,312
(c)Cytophagia sp.,1073,Infinity
Sporosarcina soli,3366,Infinity
Staphylococcus caprae,275,31446
Trichococcus sp.,10493,Infinity
Lactococcus lactis,1495,Infinity
Streptococcus infantis,1546,Infinity
(c)Tissierellia sp.,35,353
Parvimonas micra,0,0
Devosia riboflavina,2296,Infinity
Devosia submarina,3780,Infinity
Paracoccus aquimaris,923,Infinity
Klebsiella oxytoca,101,1010
Ursidibacter sp.,6246,Infinity
Pseudomonas coleopterorum,1556,Infinity
Pseudomonas oleovorans,1320,Infinity
(c)Opitutae sp.,1483,Infinity
(f)Didymellaceae sp.,72,Infinity
(f)Pleosporaceae sp.,2,Infinity
(o)Eurotiales sp.,20,Infinity
(f)Stachybotryaceae sp.,147,Infinity
(f)Microascaceae sp.,0,Infinity
Scopulariopsis brevicaulis-insectivora-stercoraria,256,Infinity
Arthrinium sp.,0,Infinity
(o)Xylariales sp.,16,Infinity
(f)Corticiaceae sp.,0,Infinity
Malassezia sp.,1,Infinity
Holtermanniella takashimae,13,Infinity
Wallemia mellicola,589,Infinity
Corynebacterium freneyi,0,1001
Corynebacterium resistens,0,164920
Corynebacterium xerosis,9243,Infinity
Dietzia alimentaria,2106,Infinity
Agrococcus versicolor,2693,Infinity
Enteractinococcus sp.,2230,Infinity
Enteractinococcus viverrae,4690,Infinity
Rothia endophytica,288980,Infinity
Aeromicrobium fastidiosum,860,Infinity
Gaiella sp.,Unknown,Unknown
Bacteroides cellulosilyticus,150,Infinity
Bacteroides stercorirosoris,2103,Infinity
(f)Chitinophagaceae sp.,973,Infinity
Dyadobacter hamtensis,1933,Infinity
Bergeyella zoohelcum,2546,Infinity
(o)Deinococcales sp.,1353,Infinity
