#query	genus	phylum	domain
Francisella tularensis	Francisella	Pseudomonadota	Bacteria
Fusobacterium	Fusobacterium	Fusobacteriota	Bacteria
Fusobacterium canifelinum	Fusobacterium	Fusobacteriota	Bacteria
Fusobacterium nucleatum	Fusobacterium	Fusobacteriota	Bacteria
Fusobacterium russii	Fusobacterium	Fusobacteriota	Bacteria
Glaesserella parasuis	Glaesserella	Pseudomonadota	Bacteria
Globicatella sanguinis	Globicatella	Bacillota	Bacteria
Granulicatella adiacens	Granulicatella	Bacillota	Bacteria
Haemophilus ducreyi	Haemophilus	Pseudomonadota	Bacteria
Haemophilus influenzae	Haemophilus	Pseudomonadota	Bacteria
Hafnia paralvei	Hafnia	Pseudomonadota	Bacteria
Helcococcus kunzii	Helcococcus	Bacillota	Bacteria
Helicobacter	Helicobacter	Campylobacterota	Bacteria
Helicobacter cinaedi	Helicobacter	Campylobacterota	Bacteria
Helicobacter mustelae	Helicobacter	Campylobacterota	Bacteria
Helicobacter pylori	Helicobacter	Campylobacterota	Bacteria
Haemophilus	Haemophilus	Pseudomonadota	Bacteria
Haemophilus gallinarum	Avibacterium	Pseudomonadota	Bacteria
Klebsiella	Klebsiella	Pseudomonadota	Bacteria
Klebsiella aerogenes	Klebsiella	Pseudomonadota	Bacteria
Klebsiella oxytoca	Klebsiella	Pseudomonadota	Bacteria
Klebsiella pneumoniae	Klebsiella	Pseudomonadota	Bacteria
Kocuria kristinae	Rothia	Actinomycetota	Bacteria
Kocuria marina	Kocuria	Actinomycetota	Bacteria
Lactococcus	Lactococcus	Bacillota	Bacteria
Lawsonella clevelandensis	Lawsonella	Actinomycetota	Bacteria
Leclercia	Leclercia	Pseudomonadota	Bacteria
Leclercia adecarboxylata	Leclercia	Pseudomonadota	Bacteria
Legionella	Legionella	Pseudomonadota	Bacteria
Legionella pneumophila	Legionella	Pseudomonadota	Bacteria
Leptospira	Leptospira	Spirochaetota	Bacteria
Leptospira borgpetersenii	Leptospira	Spirochaetota	Bacteria
Leptospira fainei	Leptospira	Spirochaetota	Bacteria
Leptospira inadai	Leptospira	Spirochaetota	Bacteria
Leptospira interrogans	Leptospira	Spirochaetota	Bacteria
Leptospira kirschneri	Leptospira	Spirochaetota	Bacteria
Leptospira noguchii	Leptospira	Spirochaetota	Bacteria
Leptospira santarosai	Leptospira	Spirochaetota	Bacteria
Leptospira weilii	Leptospira	Spirochaetota	Bacteria
Leuconostoc carnosum	Leuconostoc	Bacillota	Bacteria
Leuconostoc citreum	Leuconostoc	Bacillota	Bacteria
Leuconostoc fallax	Leuconostoc	Bacillota	Bacteria
Leuconostoc garlicum	Leuconostoc	Bacillota	Bacteria
Leuconostoc gelidum	Leuconostoc	Bacillota	Bacteria
Leuconostoc holzapfelii	Leuconostoc	Bacillota	Bacteria
Leuconostoc inhae	Leuconostoc	Bacillota	Bacteria
Leuconostoc kimchii	Leuconostoc	Bacillota	Bacteria
Leuconostoc mesenteroides	Leuconostoc	Bacillota	Bacteria
Leuconostoc miyukkimchii	Leuconostoc	Bacillota	Bacteria
Leuconostoc palmae	Leuconostoc	Bacillota	Bacteria
Leuconostoc pseudomesenteroides	Leuconostoc	Bacillota	Bacteria
Leuconostoc rapi	Leuconostoc	Bacillota	Bacteria
Leuconostoc suionicum	Leuconostoc	Bacillota	Bacteria
Listeria	Listeria	Bacillota	Bacteria
Listeria monocytogenes	Listeria	Bacillota	Bacteria
Listonella	Vibrio	Pseudomonadota	Bacteria
Mannheimia granulomatis	Mannheimia	Pseudomonadota	Bacteria
Melissococcus plutonius	Melissococcus	Bacillota	Bacteria
Micrococcus	Micrococcus	Actinomycetota	Bacteria
Micrococcus luteus	Micrococcus	Actinomycetota	Bacteria
Moraxella catarrhalis	Moraxella	Pseudomonadota	Bacteria
Moraxella cuniculi	Moraxella	Pseudomonadota	Bacteria
Moraxella porci	Moraxella	Pseudomonadota	Bacteria
Mycobacterium	Mycobacterium	Actinomycetota	Bacteria
Mycobacterium avium	Mycobacterium	Actinomycetota	Bacteria
Mycobacterium avium subsp. Columbae			
Mycobacterium bovis			
Mycobacterium chelonea			
Mycobacterium fortuitum	Mycolicibacterium	Actinomycetota	Bacteria
Mycobacterium haemophilum	Mycobacterium	Actinomycetota	Bacteria
Mycobacterium leprae	Mycobacterium	Actinomycetota	Bacteria
Mycobacterium liflandii	Mycobacterium	Actinomycetota	Bacteria
Mycobacterium malmoense	Mycobacterium	Actinomycetota	Bacteria
Mycobacterium marinum	Mycobacterium	Actinomycetota	Bacteria
Mycobacterium microti			
Mycobacterium pseudoshottii			
Mycobacterium shottii			
Mycobacterium szulgai	Mycobacterium	Actinomycetota	Bacteria
Mycobacterium tuberculosis	Mycobacterium	Actinomycetota	Bacteria
Mycobacterium ulcerans	Mycobacterium	Actinomycetota	Bacteria
Mycobacterium xenopi	Mycobacterium	Actinomycetota	Bacteria
Mycobacteroides	Mycobacteroides	Actinomycetota	Bacteria
Mycobacteroides abscessus	Mycobacteroides	Actinomycetota	Bacteria
