id,C1,C2
Chryseobacterium solincola,25486,Infinity
(f)Anaerolineaceae sp.,3453,Infinity
(f)Deinococcaceae sp.,11306,Infinity
Macrococcus sp.,11016,Infinity
Granulicatella elegans,2896,Infinity
Streptococcus equinus-infantarius-lutetiensis,5938,Infinity
Blautia hansenii,3200,Infinity
Intestinibacter sp.,18310,Infinity
(f)Ruminococcaceae sp.,1880,Infinity
Turicibacter sanguinis,13496,Infinity
Fusobacterium gastrosuis,16466,Infinity
(o)Fusobacteriales sp.,7350,Infinity
Sphingomonas sp.,6903,Infinity
(o)Cardiobacteriales sp.,2300,Infinity
Psychrobacter arenosus,44296,Infinity
Stenotrophomonas maltophilia,3515,Infinity
(f)Spirochaetaceae sp.,250,Infinity
Vishniacozyma victoriae,4,42
Gleimia sp.,291,2910
Corynebacterium durum,2450,Infinity
Corynebacterium lactis,10436,Infinity
Corynebacterium minutissimum-ulcerans,11130,Infinity
Agrococcus baldri,5123,Infinity
Glutamicibacter arilaitensis,5363,Infinity
Friedmanniella sp.,2973,Infinity
Cutibacterium humerusii,17506,Infinity
Tessaracoccus sp.,4056,Infinity
(c)Chloroplast sp.,6446,Infinity
Pinus wallichiana,195463,Infinity
Deinococcus radiopugnans,16170,Infinity
Bacillus sp.,4056,Infinity
Sporosarcina ureae,1762,Infinity
Jeotgalicoccus psychrophilus,2323,Infinity
Macrococcus canis,10292,Infinity
Staphylococcus delphini-intermedius-pseudintermedius,174,1740
Jeotgalibaca dankookensis,16201,Infinity
Streptococcus cristatus,3012,Infinity
Megamonas funiformis,4206,Infinity
Devosia submarina,6926,Infinity
(o)Rhodobacterales sp.,3660,Infinity
Lampropedia sp.,249,Infinity
Massilia sp.,3356,Infinity
Conchiformibius steedae,5080,Infinity
Neisseria sp.,15696,Infinity
Neisseria canis,2463,Infinity
Haemophilus sp.,Unknown,Unknown
Psychrobacter faecalis,4723,Infinity
Pseudomonas putida,6466,Infinity
Trichosporon sp.,605,Infinity
Corynebacterium amycolatum,4010,Infinity
Corynebacterium glyciniphilum,16462,Infinity
Corynebacterium simulans,7967,Infinity
Dietzia alimentaria,5026,Infinity
Geodermatophilus sp.,10393,Infinity
(f)Geodermatophilaceae sp.,Unknown,Unknown
Cellulomonas sp.,7166,Infinity
Brachybacterium faecium,5726,Infinity
Microbacterium barkeri,5660,Infinity
Glutamicibacter protophormiae,6086,Infinity
Friedmanniella capsulata,3963,Infinity
Collinsella tanakaei,2800,Infinity
Salinimicrobium sp.,6956,Infinity
(f)Sphingobacteriaceae sp.,3630,Infinity
(f)Populus euphratica sp.,29516,Infinity
(o)Deinococcales sp.,2276,Infinity
(f)Staphylococcaceae sp.,1830,Infinity
Staphylococcus haemolyticus,4830,Infinity
Staphylococcus lugdunensis,122,1225
Aerococcus urinaeequi-viridans,3618,Infinity
Lactobacillus reuteri,2028,Infinity
Veillonella dispar,878,Infinity
Ezakiella sp.,Unknown,Unknown
Devosia chinhatensis,4636,Infinity
Paracoccus siganidrum,10616,Infinity
(f)Acetobacteraceae sp.,6260,Infinity
Altererythrobacter dongtanensis,28040,Infinity
(f)Comamonadaceae sp.,7696,Infinity
Sutterella wadsworthensis,2473,Infinity
Aquaspirillum sp.,11513,Infinity
