id,C1,C2
(o)Micrococcales sp.,151780,Infinity
(o)Propionibacteriales sp.,11396,Infinity
Nocardioides sp.,20586,Infinity
Actinomycetospora sp.,Unknown,Unknown
(f)Pseudonocardiaceae sp.,476,Infinity
Deinococcus proteolyticus,527761,Infinity
(f)Elusimicrobiaceae sp.,Unknown,Unknown
Bacillus sp.,Unknown,Unknown
Staphylococcus delphini-intermedius-pseudintermedius,0,0
Aerococcus urinaeequi-viridans,7716,Infinity
Granulicatella adiacens,Unknown,Unknown
(f)Carnobacteriaceae sp.,Unknown,Unknown
Enterococcus casseliflavus,272480,Infinity
(o)Lactobacillales sp.,298,2986
Streptococcus tigurinus,Unknown,Unknown
Clostridium disporicum,1716,Infinity
Clostridium sardiniense,0,0
Anaerostipes sp.,192576,Infinity
Anaerostipes caccae,0,0
Cellulosilyticum lentocellum,28148,Infinity
Eisenbergiella massiliensis,Unknown,Unknown
Pseudobutyrivibrio sp.,93973,Infinity
Intestinibacter bartlettii,Unknown,Unknown
Ruminococcus sp.,192486,Infinity
Finegoldia magna,207,Infinity
Fusobacterium nucleatum,Unknown,Unknown
(c)Lentisphaeria sp.,936,Infinity
(c)Planctomycetia sp.,85453,Infinity
(o)Planctomycetales sp.,1916,Infinity
Methylobacterium platani,Unknown,Unknown
Rhizobium sp.,Unknown,Unknown
Paracoccus aminophilus-chinensis,0,0
(f)Acetobacteraceae sp.,3693,Infinity
Roseomonas aestuarii,3360,Infinity
(o)Rhodospirillales sp.,170356,Infinity
Azospirillum zeae,0,0
Morus alba,Unknown,Unknown
(f)Mitochondria alba-batatas-miltiorrhiza,0,0
(f)Sphingomonadaceae natatoria-ursincola,459223,Infinity
Novosphingobium aromaticivorans-subterraneum,0,0
Sphingobium amiense,Unknown,Unknown
Sphingobium hydrophobicum-xenophagum,14146,Infinity
Sphingomonas leidyi,Unknown,Unknown
Acidovorax defluvii-radicis,271196,Infinity
Acidovorax delafieldii-radicis,19130,Infinity
Delftia lacustris-tsuruhatensis,3366,33660
(f)Comamonadaceae sp.,0,0
(c)Betaproteobacteria sp.,12416,Infinity
Neisseria sp.,Unknown,Unknown
(c)Deltaproteobacteria sp.,0,0
Citrobacter amalonaticus,0,0
Enterobacter cloacae-ludwigii,0,0
Klebsiella pneumoniae,550,5507
(f)Enterobacteriaceae sp.,0,0
Proteus vulgaris,0,0
Acinetobacter sp.,Unknown,Unknown
Acinetobacter johnsonii,345,Infinity
Acinetobacter radioresistens,4627,46278
Pseudomonas knackmussii,Unknown,Unknown
Pseudomonas oleovorans,149,1490
(c)Spirochaetia sp.,88880,Infinity
(c)Verrucomicrobiae sp.,0,0
Akkermansia glycaniphila,1518403,Infinity
Cladosporium cycadicola,6,Infinity
Didymella glomerata,9,Infinity
Exophiala sp.,Unknown,Unknown
Aspergillus subversicolor-sydowii-versicolor,4,Infinity
Xeromyces bisporus,1116,Infinity
Meyerozyma sp.,Unknown,Unknown
Clavispora lusitaniae,0,0
Fusarium equiseti,11,Infinity
Curvibasidium cygneicollum,2,Infinity
Rhodotorula babjevae-glutinis-graminis,38,Infinity
Wallemia tropicalis,Unknown,Unknown
Mucor circinelloides,130,Infinity
(o)Acidimicrobiales sp.,1836,Infinity
Actinomyces massiliensis,Unknown,Unknown
Corynebacterium fournierii-ureicelerivorans,11610,Infinity
Corynebacterium glutamicum,0,0
Corynebacterium glyciniphilum,308052,Infinity
(f)Corynebacteriaceae sp.,5069,Infinity
Dietzia timorensis,0,0
(f)Mycobacteriaceae sp.,Unknown,Unknown
Rhodococcus fascians,0,0
Brevibacterium casei,Unknown,Unknown
Kocuria koreensis,0,0
Micrococcus aloeverae-luteus,22310,Infinity
Micrococcus terreus,Unknown,Unknown
Rothia endophytica,286826,Infinity
Friedmanniella sp.,5696,Infinity
Streptomyces sp.,2573,Infinity
(c)Coriobacteriia sp.,13190,Infinity
(o)Gaiellales sp.,Unknown,Unknown
Bacteroides sp.,54640,Infinity
Bacteroides caccae,Unknown,Unknown
Bacteroides cellulosilyticus,32045,Infinity
Porphyromonas sp.,Unknown,Unknown
Parabacteroides distasonis,11948,Infinity
(o)Cytophagales sp.,3641,Infinity
(o)Flavobacteriales sp.,1650,Infinity
(c)Flavobacteriia sp.,4196,Infinity
Sphingobacterium sp.,Unknown,Unknown
(c)Thermomicrobia sp.,0,0
Deinococcus gobiensis,Unknown,Unknown
Deinococcus radiodurans,329,3296
(f)Deinococcaceae sp.,0,0
Allobacillus halotolerans,60830,Infinity
Gemella haemolysans,1413,Infinity
Exiguobacterium mexicanum,73166,Infinity
Jeotgalicoccus sp.,Unknown,Unknown
Staphylococcus pasteuri-warneri,51,514
Staphylococcus succinus,30870,Infinity
(f)Carnobacteriaceae adiacens-enrichment,2670,Infinity
Enterococcus canintestini,863,Infinity
Enterococcus gallinarum-saccharolyticus,683,6833
(f)Enterococcaceae sp.,3060,Infinity
(f)Lactobacillaceae sp.,Unknown,Unknown
Clostridium perfringens,Unknown,Unknown
Blautia producta,38,383
Lachnospira sp.,148136,Infinity
Roseburia sp.,99550,Infinity
Romboutsia lituseburensis,Unknown,Unknown
Terrisporobacter sp.,710,Infinity
Anaerococcus provencensis,Unknown,Unknown
(o)Gemmatimonadales sp.,Unknown,Unknown
(c)Gemmatimonadetes sp.,2756,Infinity
Chlorochromatium sp.,1280,Infinity
Afipia sp.,Unknown,Unknown
(f)Bradyrhizobiaceae sp.,Unknown,Unknown
Nitrobacter hamburgensis,Unknown,Unknown
Pedomicrobium sp.,266643,Infinity
Methylorubrum extorquens,0,0
Agrobacterium tumefaciens,10587,Infinity
Rhizobium rosettiformans,105456,Infinity
Shinella zoogloeoides,6220,Infinity
(f)Rhodobacteraceae sp.,0,0
Paracocccus sp.,0,0
Paracoccus laeviglucosivorans,0,0
Rubellimicrobium mesophilum,Unknown,Unknown
Roseomonas sp.,3770,Infinity
Sphingobium sp.,Unknown,Unknown
Sphingomonas aerolata,2040,Infinity
Sphingomonas kyungheensis,Unknown,Unknown
Burkholderia sp.,Unknown,Unknown
Burkholderia ambifaria-pyrrocinia-stabilis,Unknown,Unknown
Acidovorax temperans,1016,Infinity
Acidovorax wohlfahrtii,7443,Infinity
Comamonas terrigena,Unknown,Unknown
Pelomonas saccharophila,14153,Infinity
Duganella zoogloeoides,118506,Infinity
Herbaspirillum magnetovibrio,8210,Infinity
Massilia sp.,1674,16740
(o)Desulfovibrionales sp.,Unknown,Unknown
(o)Myxococcales sp.,Unknown,Unknown
Campylobacter fetus,5306,Infinity
Atlantibacter hermannii,0,0
(f)Enterobacteriaceae aerogenes-planticola,527,Infinity
Kluyvera georgiana,96286,Infinity
Raoultella ornithinolytica,Unknown,Unknown
Pantoea agglomerans,Unknown,Unknown
Providencia rettgeri,0,0
(o)Enterobacterales sp.,133,1333
Rahnella aquatilis,Unknown,Unknown
Acinetobacter albensis,Unknown,Unknown
Acinetobacter gyllenbergii,0,0
Pseudomonas alcaliphila-chengduensis-sihuiensis,Unknown,Unknown
Pseudomonas pseudoalcaligenes,Unknown,Unknown
Pseudomonas putida,16078,Infinity
Pseudoxanthomonas mexicana,Unknown,Unknown
Cloacibacillus sp.,89116,Infinity
Akkermansia muciniphila,3814,38146
(o)Verrucomicrobiales sp.,148136,Infinity
(f)Teratosphaeriaceae sp.,Unknown,Unknown
Neocatenulostroma sp.,Unknown,Unknown
Coniozyma leucospermi,Unknown,Unknown
(o)Dothideales sp.,84,Infinity
Aureobasidium namibiae,4,Infinity
(c)Dothideomycetes sp.,33,Infinity
Didymella sp.,Unknown,Unknown
Neoascochyta sp.,61,Infinity
(f)Phaeosphaeriaceae sp.,Unknown,Unknown
Capronia kleinmondensis,Unknown,Unknown
(f)Herpotrichiellaceae sp.,10,Infinity
Penicillium decumbens,17,Infinity
Penicillium meleagrinum-sumatraense-viridiflavum,13,Infinity
Penicillium steckii,9,Infinity
(o)Helotiales sp.,12,Infinity
(c)Saccharomycetes sp.,Unknown,Unknown
Candida tropicalis,87,Infinity
Debaryomyces prosopidis,20,Infinity
Kurtzmaniella railenensis-santamariae,16,Infinity
Kazachstania sp.,5,Infinity
Hanseniaspora sp.,Unknown,Unknown
Trichomonascus allociferrii,0,2
Trichoderma sp.,5,Infinity
Fusarium oxysporum,0,0
(f)Nectriaceae sp.,Unknown,Unknown
Polycephalomyces formosus-sinensis,Unknown,Unknown
Sterigmatomyces halophilus,Unknown,Unknown
Microstroma sp.,2,Infinity
Rhodotorula diobovata-glutinis-kratochvilovae,Unknown,Unknown
Rhodotorula taiwanensis,Unknown,Unknown
Cystofilobasidium infirmominiatum,9,Infinity
Mrakia frigida,3,Infinity
Naganishia adeliensis,Unknown,Unknown
Hannaella luteola,Unknown,Unknown
(f)Bulleribasidiaceae sp.,13,Infinity
(o)Tremellales sp.,83,Infinity
Cutaneotrichosporon moniliiforme,1017,Infinity
Rhizopus delemar,Unknown,Unknown
(p)*Melainabacteria sp.,Unknown,Unknown
Actinomyces gerencseriae,Unknown,Unknown
Actinomyces sp.,0,0
(o)Actinomycetales sp.,Unknown,Unknown
Corynebacterium amycolatum,Unknown,Unknown
Corynebacterium casei,Unknown,Unknown
Corynebacterium humireducens,Unknown,Unknown
Corynebacterium minutissimum-singulare-ulcerans,Unknown,Unknown
Corynebacterium propinquum,Unknown,Unknown
Corynebacterium segmentosum,Unknown,Unknown
Corynebacterium variabile,Unknown,Unknown
Dietzia alimentaria,Unknown,Unknown
Dietzia cinnamea,0,0
Dietzia schimae,Unknown,Unknown
Mycolicibacterium aubagnense,Unknown,Unknown
Rhodococcus corynebacterioides,Unknown,Unknown
Brevibacterium iodinum,Unknown,Unknown
Brevibacterium pityocampae,Unknown,Unknown
Brachybacterium sp.,Unknown,Unknown
Brachybacterium conglomeratum-paraconglomeratum,Unknown,Unknown
Dermacoccus abyssi-barathri,0,0
Kytococcus sedentarius,Unknown,Unknown
Arsenicicoccus bolidensis,Unknown,Unknown
Janibacter melonis,Unknown,Unknown
(f)Intrasporangiaceae sp.,Unknown,Unknown
Curtobacterium oceanosedimentum,Unknown,Unknown
Frigoribacterium faeni,Unknown,Unknown
Microbacterium lacticum,Unknown,Unknown
Microbacterium oleivorans,Unknown,Unknown
Kocuria rosea,Unknown,Unknown
Micrococcus antarcticus,Unknown,Unknown
Micrococcus lylae,Unknown,Unknown
Rothia mucilaginosa,Unknown,Unknown
Marmoricola sp.,Unknown,Unknown
Marmoricola pocheonensis,Unknown,Unknown
Cutibacterium sp.,Unknown,Unknown
